Produto           Setembro   Outubro  Novembro
Margarina                0        15        15
Petiscos                 1         5         5
Cafe                     2         2         2
Manteiga                 5        20        20
Farinha                  7        18        18
Pao                      8         0         0
Salame                  10        11        11
Geleia                  11         3         3
Suco                    11        26        26
Torta                   11        28        28
Biscoito                12        13        13
Sorvete                 13        18        18
Queijo                  16        16        16
Fermento                16        24        24
Leite                   17        25        25
Bolacha                 19        11        11
Refrigerante            20         8         8
Presunto                21        24        24
Doce                    22         0         0
Bolo                    25        18        18
